games_names,torvik_names
Campbell,Campbell
Canisius,Canisius
Central Arkansas,Central Arkansas
Central Connecticut,Central Connecticut
Central Michigan,Central Michigan
Charleston Southern,Charleston Southern
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago State,Chicago State
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland State,Cleveland State
Coastal Carolina,Coastal Carolina
Colgate,Colgate
College of Charleston,College of Charleston
Colorado,Colorado
Colorado State,Colorado State
Columbia,Columbia
Coppin State,Coppin State
Cornell,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware State,Delaware State
Denver,Denver
DePaul,DePaul
Detroit,Detroit
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,East Carolina
Eastern Illinois,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Michigan,Eastern Michigan
Eastern Washington,Eastern Washington
Elon,Elon
Evansville,Evansville
Fairfield,Fairfield
Fairleigh Dickinson,Fairleigh Dickinson
Florida,Florida
Florida A&M,Florida A&M
Florida Atlantic,Florida Atlantic
Florida Gulf Coast,Florida Gulf Coast
Florida State,Florida State
Fordham,Fordham
Fresno State,Fresno State
Furman,Furman
George Mason,George Mason
George Washington,George Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,Georgia Southern
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Baptist
Howard,Howard
Idaho,Idaho
Idaho State,Idaho State
Illinois,Illinois
Illinois State,Illinois State
Incarnate Word,Incarnate Word
Indiana,Indiana
Indiana State,Indiana State
Iona,Iona
Iowa,Iowa
Iowa State,Iowa State
IUPUI,IUPUI
Jackson State,Jackson State
Jacksonville,Jacksonville
Jacksonville State,Jacksonville State
James Madison,James Madison
Kansas,Kansas
Kansas State,Kansas State
Kennesaw State,Kennesaw State
Kent State,Kent State
Kentucky,Kentucky
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
Little Rock,Little Rock
Long Beach State,Long Beach State
Longwood,Longwood
Louisiana Tech,Louisiana Tech
Louisville,Louisville
Loyola Marymount,Loyola Marymount
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
McNeese State,McNeese State
Memphis,Memphis
Mercer,Mercer
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Middle Tennessee
Milwaukee,Milwaukee
Minnesota,Minnesota
Mississippi State,Mississippi State
Mississippi Valley State,Mississippi Valley State
Missouri,Missouri
Missouri State,Missouri State
Monmouth,Monmouth
Montana,Montana
Montana State,Montana State
Morehead State,Morehead State
Morgan State,Morgan State
Murray State,Murray State
Navy,Navy
Nebraska,Nebraska
Nevada,Nevada
New Hampshire,New Hampshire
New Mexico,New Mexico
New Mexico State,New Mexico State
New Orleans,New Orleans
Niagara,Niagara
Nicholls State,Nicholls State
NJIT,NJIT
Norfolk State,Norfolk State
North Alabama,North Alabama
North Carolina A&T,North Carolina A&T
North Carolina Central,North Carolina Central
North Dakota,North Dakota
North Dakota State,North Dakota State
North Florida,North Florida
North Texas,North Texas
Northeastern,Northeastern
Northern Arizona,Northern Arizona
Northern Colorado,Northern Colorado
Northern Illinois,Northern Illinois
Northern Iowa,Northern Iowa
Northern Kentucky,Northern Kentucky
Northwestern,Northwestern
Northwestern State,Northwestern State
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon State,Oregon State
Pacific,Pacific
Penn,Penn
Penn State,Penn State
Pepperdine,Pepperdine
Portland,Portland
Portland State,Portland State
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Quinnipiac,Quinnipiac
Radford,Radford
Rhode Island,Rhode Island
Rice,Rice
Richmond,Richmond
Rider,Rider
Robert Morris,Robert Morris
Rutgers,Rutgers
Sacramento State,Sacramento State
Sacred Heart,Sacred Heart
Saint Louis,Saint Louis
Saint Mary's,Saint Mary's
Sam Houston State,Sam Houston State
Samford,Samford
San Diego,San Diego
San Diego State,San Diego State
San Francisco,San Francisco
San Jose State,San Jose State
Santa Clara,Santa Clara
Savannah State,Savannah State
Seattle,Seattle
Seton Hall,Seton Hall
Siena,Siena
SMU,SMU
South Alabama,South Alabama
South Carolina,South Carolina
South Carolina State,South Carolina State
South Dakota,South Dakota
South Dakota State,South Dakota State
South Florida,South Florida
Southeast Missouri State,Southeast Missouri State
Southeastern Louisiana,Southeastern Louisiana
Southern,Southern
Southern Illinois,Southern Illinois
Southern Miss,Southern Miss
Southern Utah,Southern Utah
Stanford,Stanford
Stephen F. Austin,Stephen F. Austin
Stetson,Stetson
Stony Brook,Stony Brook
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Tennessee State,Tennessee State
Tennessee Tech,Tennessee Tech
Texas,Texas
Texas A&M,Texas A&M
Texas Southern,Texas Southern
Texas State,Texas State
Texas Tech,Texas Tech
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UCF,UCF
UCLA,UCLA
UMBC,UMBC
UMKC,UMKC
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC Wilmington
UNLV,UNLV
USC,USC
USC Upstate,USC Upstate
Utah,Utah
Utah State,Utah State
Utah Valley,Utah Valley
UTEP,UTEP
UTSA,UTSA
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VCU,VCU
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia Tech
VMI,VMI
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington State,Washington State
Weber State,Weber State
West Virginia,West Virginia
Western Carolina,Western Carolina
Western Illinois,Western Illinois
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wichita State,Wichita State
William & Mary,William & Mary
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright State,Wright State
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
Youngstown State,Youngstown State
