"Road","Home","Road_score","Home_score","Home_w","margin","Date"
"Arkansas","Texas",71,73,1,-2,2018-11-09
"Hampton","VCU",57,69,1,-12,2018-11-09
"Gardner-Webb","Virginia Tech",59,87,1,-28,2018-11-09
"Arkansas State","Abilene Christian",73,94,1,-21,2018-11-09
"Blue Mountain College","Alcorn State",55,79,1,-24,2018-11-09
"NJIT","Binghamton",74,57,0,17,2018-11-09
"Savannah State","Georgia",76,110,1,-34,2018-11-09
"Jarvis Christian","Grambling",68,105,1,-37,2018-11-09
"St. Francis (IL)","Incarnate Word",49,63,1,-14,2018-11-09
"Montana State","Indiana",35,80,1,-45,2018-11-09
"Albany (NY)","Iona",68,72,1,-4,2018-11-09
"Kennesaw State","Kansas State",41,56,1,-15,2018-11-09
"UNC Greensboro","LSU",91,97,1,-6,2018-11-09
"Furman","Loyola (IL)",60,58,0,2,2018-11-09
"Robert Morris","Missouri State",60,74,1,-14,2018-11-09
"Maryland","Navy",78,57,0,21,2018-11-09
"Southwestern","Oral Roberts",62,79,1,-17,2018-11-09
"Rice","Penn",76,92,1,-16,2018-11-09
"William Carey","Southeastern Louisiana",57,78,1,-21,2018-11-09
"Our Lady of the Lake","Texas A&M-Corpus Christi",83,113,1,-30,2018-11-09
"Oklahoma","Texas-Rio Grande Valley",91,76,0,15,2018-11-09
"Air Force","Texas State",57,67,1,-10,2018-11-09
"McNeese State","Arizona State",52,80,1,-28,2018-11-09
"Washington","Auburn",66,88,1,-22,2018-11-09
"Georgia State","Montana",74,81,1,-7,2018-11-09
"UTEP","New Mexico State",69,96,1,-27,2018-11-09
"Humboldt State","North Texas",48,93,1,-45,2018-11-09
"Colorado College","Northern Colorado",56,126,1,-70,2018-11-09
"Eastern Washington","Oregon",47,81,1,-34,2018-11-09
"UIC","Radford",78,88,1,-10,2018-11-09
"UC-Irvine","Texas A&M",74,73,0,1,2018-11-09
"Mississippi Valley State","Texas Tech",52,84,1,-32,2018-11-09
"Hartford","Utah State",73,100,1,-27,2018-11-09
"Bethesda University (CA)","Weber State",53,123,1,-70,2018-11-09
"Buffalo","West Virginia",99,94,0,5,2018-11-09
"Utah Valley","BYU",65,75,1,-10,2018-11-09
"San Diego Christian","California Baptist",71,87,1,-16,2018-11-09
"San Diego","UC-Davis",76,57,0,19,2018-11-09
"Pacific","Nevada",61,83,1,-22,2018-11-09
"Simpson","Sacramento State",52,76,1,-24,2018-11-09
